Processed at: 12/5/2022 12:03:45 PM

Course_Code|Student_IDs|Primary_State
PROG36|33,22,66,50,38,95,74,10,83,33,67|Nevada
PROG37|87,97,67,83,13,10,97,100,83|South Carolina
PROG38|22,69,98,67|Iowa
PROG39|54,28,51,76,45,64,55,49,63|Texas
PROG40|43,47,31,6,91,48,79,45,58,60,80,64,87,7|Washington
PROG41|97,27,67,86,56,34,43,77,87|Texas
PROG42|70,39,81,84,63,44,67,75,27|Wisconsin
PROG43|97,79,93,52,3,15,65,64,9|Texas
PROG44|37,84,56,25,29,7,11,58,22,4,48|Texas
PROG45|32,50,95,28,28|Minnesota
PROG46|28,20,22,86,53,48,10,82|Oklahoma
PROG47|34,90,9,5,5,57,79|Tennessee
PROG48|60,17,81,95,85,97,38,31,8,71,20|Wisconsin
PROG49|82,20,17,50,18,26,13,16,6|Washington
PROG50|44,65,84,12,7,35|Texas
PROG51|96,71,46,31,96,37,43,33,92,77,25,54,46,87,71,21|Virginia
PROG52|97,31,57,26,39,34,38,30|Virginia
PROG53|22,11,8,54,24,5,34,15,97,53,43,30,15|Virginia
PROG54|27,43,69,61,36,4,57,85,29,30,64,91,62,94,71,45,25,77,5|Virginia
PROG55|73,24,78,97,78|New York
PROG56|2,48,68,13,70,97|South Carolina
PROG57|2,36,78,84,42,23,6,83,6,23|Wisconsin
PROG58|45,63,93,31,62,32,90,87,100,44,44|Virginia
PROG59|4,35,76,51,77,97,6,17,63,82,15|Washington
PROG60|23,48,76,71,56,17,65,19,20,29,40,55|Virginia
PROG61|5,5,27,44,29,58,74,2,27|Texas
PROG62|84,98,26,5,58,48,41,12,68|Texas
PROG63|98,97,83,8,46,74,72|Nevada
PROG64|11,78,19,13,13,17,91,83,99,20|Virginia
PROG65|99,62,5,2,56,76,50,14,50,16,39,56,13,18,92|Virginia
PROG66|45,97,98,82,12,48,44,52,92,4,91|Texas
PROG67|5,41,4,53,78,40,63,24,48,12,100|Texas
PROG68|86,20,90,43,97,15,63,99,74,50,31,86,17,46,34|Virginia
PROG69|58,55,6,98,87,35,89,53,81,63|Wisconsin
PROG70|29,19,67,27,42,63|Wisconsin
PROG71|58,10,77,21,32,4,13,27,63|Texas
PROG72|1,50,48,80,77,63,71,91,87,30,3,1,87|Virginia
PROG73|66,34,46,14,21,97,56,27,77,22,50|Texas
PROG74|17,94,14,95,11,92|Virginia
PROG75|8,34,37,71,39,66,83,63,60|Texas
PROG76|20,15,33,75,87|Minnesota
PROG77|56,71,36,50,47,87,98,61,34,6,4|Washington
PROG78|9,14,76,36,60,77,25,90|Texas
PROG79|57,73,76,1,99,16,33,62,91,16|Virginia
PROG80|79,33,40,72,17,24,55,74,38|Virginia
PROG81|76,25,43,45,53|New York
PROG82|22,88,74,99,67,11,65,78|Nevada
PROG83|15,85,61,69,88,40,9,59,36,17,89,75,63|Virginia
PROG84|58,15,100,50,24,29,100,64,68,67,43,45,26,58|Texas
PROG85|98,73,3,54,42,16,7,82|Wisconsin
PROG86|24,38,62,54,38,21,88,49,94,68,58,49,26,39,74|Texas
PROG87|46,5,8,90,93,44|Texas
PROG88|87,7,7,42,47,98,51|Wisconsin
PROG89|97,28,71,42,70,24,30,79,10,10,87,44,80,35|Wisconsin
PROG90|55,28,83,13,33,47,18,66,20,66,93,63|Texas
PROG91|74,100,75,15,47,45|Nevada
PROG92|6,47,20,2,4,63,99,23,10,73,9,72|Washington
PROG93|7,23,77,68,64,27,5,39,36,1,7,17,80,48,45,75|Virginia
PROG94|1,12,87,36,38,99,48,19,21,6,33|Washington
PROG95|88,14,38,99,86,78,18,26,97,30,97|Virginia
PROG96|82,14,44,75,97|Texas
PROG97|63,41,88,5,19,98,59,67,53|Oklahoma
PROG98|86,67,60,33,18,18,7,23,45,18,54,9,39,2|Texas
PROG99|42,71,88,47,17,90,41,5,75,86|Wisconsin
